INCIDENT_ID,DATE,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE
CR_64035,1999-12-11,0,47,48,7,3,4,2,1,6,1,316,1.0,98,62,34,1
CR_85661,2002-03-01,5,22,22,7,3,13,18,1,6,1,316,1.0,92,29,34,1
CR_31901,1995-04-07,0,49,49,6,5,5,6,0,5,1,249,1.0,67,29,34,1
CR_73049,2001-05-28,0,4,4,6,5,3,5,0,5,1,174,1.0,72,80,34,1
CR_148441,2011-07-11,0,4,4,6,5,3,5,0,5,1,0,1.0,103,142,34,1
CR_99283,2004-07-03,0,15,14,3,5,4,2,0,5,1,174,0.0,116,133,0,1
CR_152644,2011-08-16,0,36,34,2,1,1,0,1,2,1,316,1.0,92,62,34,1
CR_187216,2017-07-25,0,21,23,4,1,4,2,0,5,1,174,0.0,111,103,43,1
CR_165321,2013-08-23,1,37,37,0,0,11,17,1,6,1,127,1.0,103,77,34,1
CR_198473,2018-09-27,0,49,49,6,5,2,7,3,5,2,249,2.0,72,107,34,1
CR_92787,2003-04-04,7,21,23,4,1,9,8,2,6,3,174,3.0,112,14,34,1
CR_64799,2000-02-13,0,4,4,6,5,7,1,0,5,1,316,1.0,72,62,34,1
CR_193653,2018-04-21,0,16,15,0,0,8,3,1,6,1,0,1.0,12,6,34,1
CR_115118,2006-10-14,5,22,22,7,3,16,12,1,6,2,0,2.0,34,29,34,1
CR_109887,2005-04-15,0,36,34,2,1,6,4,1,2,1,316,1.0,92,142,34,1
CR_139996,2009-05-19,1,37,37,0,0,11,17,1,1,1,299,1.0,103,130,34,1
CR_173928,2015-05-07,0,11,11,7,3,3,5,2,5,1,316,1.0,12,62,34,1
CR_104980,2005-09-14,0,4,4,6,5,5,6,2,6,1,174,1.0,103,29,34,1
CR_70088,2000-07-05,0,36,34,2,1,1,0,1,6,1,249,1.0,92,93,34,1
CR_8305,1992-01-12,0,36,34,2,1,4,2,0,2,1,299,1.0,92,142,34,1
CR_65586,2000-04-07,0,4,4,6,5,4,2,1,6,2,249,2.0,72,62,34,1
CR_9159,1992-05-09,1,36,34,2,1,15,10,0,2,1,316,1.0,92,130,34,1
CR_31819,1995-10-07,0,48,47,4,1,7,1,1,6,4,158,2.0,103,62,34,0
CR_16865,1993-08-29,0,39,39,6,5,4,2,1,6,2,249,2.0,103,80,34,1
CR_21510,1994-05-04,0,33,32,2,1,9,8,1,6,1,249,1.0,103,29,34,1
CR_156814,2012-07-21,0,21,23,4,1,4,2,1,6,6,12,6.0,103,80,34,0
CR_27032,1995-04-19,0,16,15,0,0,1,0,2,2,1,316,1.0,72,142,34,1
CR_136415,2009-06-21,0,5,5,3,5,3,5,1,6,2,249,2.0,103,29,34,1
CR_163234,2013-10-09,0,21,23,4,1,2,7,3,2,1,249,1.0,2,87,34,1
CR_9501,1992-04-25,0,38,38,10,3,3,5,3,6,1,0,1.0,72,0,34,1
CR_146805,2010-03-26,0,38,38,10,3,7,1,0,5,1,174,1.0,103,142,34,1
CR_26119,1995-10-19,0,4,4,6,5,2,7,1,6,1,249,1.0,112,29,34,1
CR_23885,1994-10-29,0,46,46,3,5,7,1,0,5,1,74,0.0,113,142,0,1
CR_146067,2010-06-24,0,36,34,2,1,1,0,1,2,1,0,1.0,92,80,34,1
CR_57991,1999-02-06,1,4,4,6,5,15,10,0,5,1,174,1.0,109,93,34,1
CR_61821,1999-07-07,0,33,32,2,1,6,4,0,5,1,174,0.0,72,93,48,1
CR_163348,2013-06-30,0,22,22,7,3,7,1,2,6,2,0,2.0,98,103,34,1
CR_115060,2006-09-04,1,22,22,7,3,15,10,0,5,1,174,1.0,72,93,34,1
CR_125510,2007-02-13,1,39,39,6,5,15,10,1,6,1,249,1.0,72,80,34,1
CR_31500,1995-06-17,0,45,45,10,3,3,5,2,5,1,249,1.0,103,29,34,1
CR_143839,2010-08-14,0,19,19,1,3,6,4,1,6,1,249,1.0,103,29,34,1
CR_13905,1993-11-14,1,22,22,7,3,15,10,2,2,1,303,1.0,112,142,34,1
CR_96422,2003-02-17,1,47,48,7,3,15,10,0,5,1,174,0.0,92,29,0,1
CR_40981,1997-06-20,0,3,2,3,5,1,0,1,6,1,249,1.0,103,62,34,1
CR_135371,2009-07-26,0,4,4,6,5,5,6,0,5,1,174,1.0,103,29,34,1
CR_193865,2018-09-19,1,18,18,9,0,13,18,1,6,2,249,2.0,112,142,34,1
CR_36425,1996-02-29,0,22,22,7,3,2,7,2,2,1,303,1.0,72,142,34,1
CR_132260,2008-02-01,0,35,30,3,5,1,0,0,5,1,249,1.0,103,29,34,1
CR_111595,2005-05-25,0,47,48,7,3,5,6,1,2,1,249,0.0,24,124,34,1
CR_10212,1992-02-18,0,45,45,10,3,8,3,4,6,1,174,0.0,112,29,48,1
CR_136916,2009-04-10,7,9,10,7,3,9,8,1,5,1,249,1.0,103,130,34,1
CR_129407,2008-03-03,0,15,14,3,5,5,6,0,5,1,174,0.0,92,130,0,1
CR_109921,2005-08-28,1,36,34,2,1,15,10,0,5,1,174,0.0,92,29,43,1
CR_124579,2007-12-11,0,33,32,2,1,7,1,1,6,1,249,1.0,103,62,34,1
CR_89302,2002-03-17,0,49,49,6,5,4,2,1,6,1,316,1.0,103,29,34,1
CR_111975,2006-11-17,0,2,3,10,3,7,1,1,5,1,174,1.0,112,93,34,1
CR_40181,1996-03-09,0,45,45,10,3,3,5,1,6,1,174,0.0,103,29,43,1
CR_150519,2011-03-16,7,21,23,4,1,9,8,0,5,1,174,0.0,112,93,0,1
CR_149320,2011-01-14,0,4,4,6,5,2,7,0,5,1,174,1.0,72,93,34,1
CR_110063,2005-03-12,0,36,34,2,1,1,0,0,5,1,174,0.0,92,93,43,1
CR_161303,2013-08-11,0,4,4,6,5,6,4,1,6,1,174,1.0,116,14,34,1
CR_105501,2005-01-25,0,4,4,6,5,6,4,2,6,1,174,0.0,18,138,46,1
CR_156703,2012-08-09,0,21,23,4,1,2,7,0,5,1,249,1.0,116,29,34,1
CR_173522,2015-12-03,0,4,4,6,5,4,2,2,2,1,316,1.0,72,142,34,1
CR_90274,2003-02-22,0,4,4,6,5,3,5,2,3,1,249,1.0,103,103,34,1
CR_180050,2016-09-30,0,16,15,0,0,1,0,4,6,1,249,1.0,72,29,34,1
CR_125634,2007-01-04,0,39,39,6,5,5,6,0,5,1,174,1.0,103,119,34,1
CR_126123,2007-10-30,0,44,44,1,3,2,7,1,2,1,0,1.0,34,107,34,1
CR_140250,2009-07-30,0,37,37,0,0,3,5,0,5,1,249,1.0,98,130,34,1
CR_22681,1994-01-18,0,37,37,0,0,4,2,1,6,1,249,1.0,103,29,34,1
CR_26604,1995-04-27,5,8,7,7,3,18,13,2,6,1,316,1.0,98,29,34,1
CR_140343,2009-08-18,0,38,38,10,3,6,4,1,6,1,316,1.0,98,87,34,1
CR_79772,2001-05-04,0,36,34,2,1,4,2,0,5,1,174,0.0,103,93,43,1
CR_115782,2006-04-20,0,24,24,0,0,7,1,1,1,2,249,2.0,59,130,34,1
CR_109842,2005-11-23,0,35,30,3,5,1,0,1,6,12,249,12.0,103,29,34,1
CR_71017,2000-10-02,0,40,40,2,1,5,6,1,6,1,316,1.0,103,80,34,1
CR_30680,1995-07-25,0,37,37,0,0,2,7,3,2,1,316,1.0,72,142,34,1
CR_51048,1998-02-14,0,8,7,7,3,6,4,0,5,1,174,1.0,72,29,34,1
CR_67471,2000-10-21,0,17,16,0,0,6,4,2,2,1,303,1.0,72,142,34,1
CR_198415,2018-07-18,0,49,49,6,5,2,7,1,6,1,174,0.0,72,93,23,1
CR_128020,2008-05-07,7,4,4,6,5,9,8,0,5,1,174,1.0,112,119,34,1
CR_13728,1993-10-26,1,22,22,7,3,15,10,0,5,1,174,1.0,103,62,34,1
CR_154888,2012-03-25,0,4,4,6,5,1,0,0,5,1,174,0.0,18,93,46,1
CR_138025,2009-03-05,0,24,24,0,0,4,2,1,2,1,316,1.0,72,119,34,1
CR_110879,2005-11-17,7,42,42,7,3,9,8,0,5,1,174,0.0,92,29,0,1
CR_149624,2011-08-22,0,5,5,3,5,2,7,1,6,1,249,1.0,103,29,34,1
CR_106684,2005-05-06,3,9,10,7,3,18,13,2,2,1,316,1.0,112,142,34,1
CR_122912,2007-05-26,0,24,24,0,0,4,2,1,5,1,316,1.0,92,115,34,1
CR_141175,2009-10-08,0,47,48,7,3,7,1,0,5,1,174,0.0,54,130,0,1
CR_156314,2012-05-28,0,18,18,9,0,3,5,0,5,1,174,1.0,103,29,34,1
CR_130943,2008-05-11,0,25,25,9,0,6,4,1,5,1,316,1.0,72,80,34,1
CR_74536,2001-03-17,0,4,4,6,5,1,0,0,5,1,249,1.0,98,93,34,1
CR_147016,2010-02-24,0,41,41,4,1,8,3,1,6,1,316,1.0,72,103,34,1
CR_22782,1994-08-10,0,37,37,0,0,2,7,1,2,2,249,2.0,72,142,34,1
CR_61811,1999-02-04,0,33,32,2,1,6,4,0,5,1,174,0.0,116,103,0,1
CR_54282,1998-12-04,1,36,34,2,1,11,17,0,5,1,249,1.0,92,130,34,1
CR_85140,2002-12-01,7,21,23,4,1,9,8,0,5,1,174,0.0,112,93,34,1
CR_121452,2007-03-01,0,7,8,7,3,2,7,1,2,1,316,1.0,2,87,34,1
CR_37965,1996-03-26,0,33,32,2,1,7,1,1,6,1,316,1.0,112,29,34,1
CR_195163,2018-07-08,1,25,25,9,0,16,12,1,1,1,249,1.0,109,87,34,1
CR_55349,1998-10-05,0,39,39,6,5,6,4,2,6,2,316,2.0,12,62,34,1
CR_121685,2007-02-18,1,9,10,7,3,15,10,2,6,1,174,1.0,92,107,34,1
CR_141805,2010-12-24,0,3,2,3,5,1,0,1,6,1,316,1.0,103,142,34,1
CR_17670,1993-12-06,0,45,45,10,3,3,5,0,5,1,249,1.0,103,130,34,1
CR_160737,2012-10-29,0,49,49,6,5,2,7,0,5,1,328,1.0,103,0,34,1
CR_185799,2017-08-01,1,4,4,6,5,16,12,2,6,1,316,1.0,87,80,34,1
CR_125521,2007-01-13,1,39,39,6,5,11,17,0,5,1,174,0.0,92,93,0,1
CR_153038,2011-12-20,0,37,37,0,0,9,8,2,6,2,316,2.0,54,107,34,1
CR_155305,2012-05-14,0,4,4,6,5,2,7,1,6,1,0,1.0,72,107,34,1
CR_158306,2012-09-27,0,33,32,2,1,6,4,0,5,1,174,0.0,103,93,43,1
CR_36604,1996-06-13,0,24,24,0,0,7,1,1,0,1,0,1.0,54,142,34,1
CR_32660,1996-12-11,0,4,4,6,5,6,4,1,6,1,316,1.0,72,80,34,1
CR_156654,2012-11-23,0,21,23,4,1,6,4,1,6,1,249,1.0,72,29,34,1
CR_33454,1996-10-06,0,4,4,6,5,4,2,0,5,1,174,0.0,112,93,48,1
CR_47976,1997-08-03,0,43,43,9,0,4,2,0,5,4,60,2.0,109,124,9,0
CR_94689,2003-06-29,0,36,34,2,1,5,6,1,6,1,249,1.0,92,29,34,1
CR_94650,2003-07-05,0,35,30,3,5,1,0,1,6,3,0,3.0,92,80,34,1
CR_98604,2004-10-09,0,4,4,6,5,5,6,1,6,1,0,1.0,103,29,34,1
CR_172461,2015-01-07,0,3,2,3,5,1,0,0,5,1,174,0.0,18,133,46,1
CR_137008,2009-03-02,0,16,15,0,0,8,3,1,6,1,0,1.0,103,29,34,1
CR_128037,2008-07-25,0,4,4,6,5,4,2,0,5,1,174,1.0,72,119,34,1
CR_198398,2018-08-20,0,49,49,6,5,2,7,1,6,3,249,3.0,48,119,34,1
CR_122485,2007-09-10,0,21,23,4,1,2,7,0,5,1,174,1.0,72,93,34,1
CR_616,1991-05-01,0,21,23,4,1,4,2,2,6,2,316,2.0,92,80,34,1
CR_117108,2006-04-07,0,35,30,3,5,1,0,1,2,1,316,1.0,84,142,34,1
CR_77292,2001-06-09,0,23,21,4,1,5,6,1,6,1,249,1.0,113,29,34,1
CR_166186,2013-12-29,0,45,45,10,3,2,7,1,6,1,0,1.0,103,107,34,1
CR_60652,1999-05-31,1,24,24,0,0,11,17,2,6,1,249,1.0,103,93,34,1
CR_80683,2001-12-03,0,42,42,7,3,7,1,0,5,1,74,0.0,34,115,0,1
CR_47142,1997-05-29,1,36,34,2,1,15,10,1,5,1,249,1.0,92,93,34,1
CR_76914,2001-03-11,0,21,23,4,1,2,7,1,5,1,249,1.0,103,29,34,1
CR_164716,2013-07-12,0,35,30,3,5,4,2,2,2,1,0,1.0,24,80,34,1
CR_190662,2017-07-05,0,45,45,10,3,8,3,1,6,4,0,4.0,72,79,34,1
CR_11906,1993-09-02,0,6,6,4,1,4,2,0,5,1,249,1.0,103,130,34,1
CR_163667,2013-01-27,0,24,24,0,0,5,6,2,5,1,249,1.0,103,93,34,1
CR_33133,1996-02-22,0,4,4,6,5,1,0,1,6,1,316,1.0,72,80,34,1
CR_120041,2007-03-08,0,4,4,6,5,4,2,0,5,1,174,0.0,116,119,0,1
CR_101289,2004-06-08,0,28,28,3,5,5,6,1,6,1,316,1.0,112,77,34,1
CR_83167,2002-05-15,7,4,4,6,5,9,8,0,5,1,249,1.0,112,93,34,1
CR_14181,1993-08-18,0,24,24,0,0,5,6,1,6,1,249,1.0,72,29,34,1
CR_133994,2008-07-14,0,44,44,1,3,7,1,1,2,1,249,1.0,109,29,34,1
CR_36450,1996-09-01,0,23,21,4,1,6,4,1,6,2,263,2.0,72,29,34,0
CR_73320,2001-01-06,0,4,4,6,5,1,0,1,6,1,249,1.0,103,29,34,1
CR_64657,2000-02-01,0,3,2,3,5,3,5,1,5,1,249,1.0,92,62,34,1
CR_34024,1996-11-25,0,4,4,6,5,2,7,1,1,1,303,1.0,72,62,34,1
CR_189499,2017-02-10,0,36,34,2,1,1,0,1,5,1,174,99.0,103,93,43,1
CR_56345,1998-08-09,0,49,49,6,5,6,4,1,6,1,249,1.0,103,29,34,1
CR_152601,2011-06-16,0,36,34,2,1,1,0,0,5,1,249,1.0,103,93,34,1
CR_167182,2014-02-03,0,4,4,6,5,5,6,0,5,1,249,1.0,98,29,34,1
CR_185663,2017-01-12,1,4,4,6,5,15,10,0,5,1,249,1.0,103,29,34,1
CR_102000,2004-12-09,0,33,32,2,1,8,3,3,5,3,249,3.0,92,87,34,1
CR_158872,2012-01-10,0,36,34,2,1,1,0,0,5,2,174,0.0,103,93,43,1
CR_481,1991-04-12,0,16,15,0,0,1,0,1,5,1,316,1.0,112,29,34,1
CR_46902,1997-04-02,0,36,34,2,1,1,0,1,2,1,0,1.0,92,142,34,1
CR_50075,1998-05-13,0,4,4,6,5,3,5,1,6,1,316,1.0,72,29,34,1
CR_24132,1994-01-07,3,49,49,6,5,9,8,1,6,1,249,1.0,2,29,34,1
CR_173451,2015-04-26,1,4,4,6,5,16,12,0,5,1,174,0.0,103,93,43,1
CR_46043,1997-04-08,0,33,32,2,1,5,6,0,5,1,174,0.0,18,138,46,1
CR_76699,2001-10-12,0,21,23,4,1,5,6,1,6,1,316,1.0,2,29,34,1
CR_94028,2003-12-29,0,33,32,2,1,6,4,0,5,1,174,0.0,18,93,46,1
CR_164179,2013-10-15,0,31,36,9,0,6,4,0,5,1,162,0.0,113,142,0,1
CR_128762,2008-03-17,0,5,5,3,5,4,2,0,5,1,174,1.0,103,93,34,1
CR_17159,1993-04-03,0,40,40,2,1,1,0,1,5,1,174,1.0,92,93,34,1
CR_198161,2018-01-20,0,49,49,6,5,5,6,1,1,1,0,1.0,103,29,34,1
CR_77190,2001-08-09,1,22,22,7,3,15,10,0,5,1,174,1.0,103,29,34,1
CR_16390,1993-02-26,7,36,34,2,1,9,8,1,6,1,249,1.0,92,80,34,1
CR_19758,1994-05-01,0,15,14,3,5,8,3,2,6,2,249,2.0,103,29,34,1
CR_91159,2003-05-15,0,4,4,6,5,2,7,1,2,1,249,1.0,72,142,34,1
CR_50742,1998-07-19,0,4,4,6,5,4,2,1,6,1,174,1.0,103,93,34,1
CR_98434,2004-09-12,0,4,4,6,5,2,7,1,6,1,316,1.0,116,62,34,1
CR_137521,2009-01-29,0,21,23,4,1,6,4,1,6,1,174,0.0,18,93,46,1
CR_136155,2009-02-02,0,4,4,6,5,5,6,1,5,1,249,1.0,24,142,34,1
CR_147383,2010-11-14,0,45,45,10,3,5,6,3,6,1,0,1.0,98,142,34,1
CR_100541,2004-01-28,0,24,24,0,0,6,4,2,6,2,0,0.0,103,29,34,1
CR_118306,2006-07-06,1,42,42,7,3,12,16,0,5,1,127,1.0,103,115,34,1
CR_64574,2000-03-03,0,3,2,3,5,1,0,2,6,1,316,1.0,72,29,34,1
CR_12838,1993-06-18,0,16,15,0,0,8,3,1,2,1,316,1.0,72,29,34,1
CR_93341,2003-07-23,0,24,24,0,0,5,6,1,2,1,249,0.0,98,142,34,1
CR_197211,2018-03-11,5,40,40,2,1,16,12,1,6,1,249,1.0,58,29,34,1
CR_67809,2000-04-05,0,21,23,4,1,7,1,0,5,1,174,0.0,112,93,43,1
CR_110981,2005-06-29,1,44,44,1,3,11,17,1,5,1,174,0.0,103,29,34,1
CR_158034,2012-10-10,0,33,32,2,1,7,1,0,5,1,174,0.0,116,62,0,1
CR_10150,1992-07-29,0,45,45,10,3,7,1,1,2,1,174,1.0,72,142,34,1
CR_97610,2004-01-14,0,4,4,6,5,1,0,1,6,1,316,1.0,34,130,34,1
CR_92038,2003-11-29,0,16,15,0,0,5,6,0,5,1,174,0.0,103,29,43,1
CR_139261,2009-03-21,0,33,32,2,1,5,6,0,5,1,174,0.0,92,62,43,1
CR_19288,1994-11-18,0,6,6,4,1,4,2,0,5,1,249,1.0,103,62,34,1
CR_117256,2006-06-13,1,36,34,2,1,15,10,0,5,2,174,0.0,92,93,0,1
CR_176619,2015-09-26,0,37,37,0,0,8,3,1,6,2,231,2.0,98,77,34,1
CR_10136,1992-06-07,0,45,45,10,3,2,7,1,6,1,316,1.0,72,80,34,1
CR_93485,2003-08-14,0,24,24,0,0,4,2,1,5,1,174,0.0,92,93,46,1
CR_166946,2014-02-03,0,3,2,3,5,1,0,1,6,1,316,1.0,109,62,34,1
CR_23846,1994-09-06,0,45,45,10,3,2,7,1,6,1,316,1.0,112,119,34,1
CR_35143,1996-08-17,0,16,15,0,0,6,4,1,5,1,249,1.0,103,29,34,1
CR_132712,2008-10-15,0,36,34,2,1,1,0,1,2,1,316,1.0,92,142,34,1
CR_108422,2005-03-21,0,24,24,0,0,5,6,1,6,1,249,1.0,72,29,34,1
CR_12091,1993-11-15,0,9,10,7,3,6,4,5,6,2,316,2.0,72,62,34,1
CR_625,1991-06-07,0,21,23,4,1,5,6,1,6,2,179,1.0,92,142,34,0
CR_159884,2012-09-21,0,44,44,1,3,4,2,1,6,1,299,1.0,92,80,34,1
CR_71220,2000-10-13,1,44,44,1,3,16,12,1,5,1,174,0.0,112,29,23,1
CR_51361,1998-09-17,0,15,14,3,5,7,1,1,6,1,316,1.0,112,93,34,1
CR_154424,2012-02-06,0,3,2,3,5,4,2,1,6,3,0,3.0,98,80,34,1
CR_63566,1999-07-15,0,45,45,10,3,6,4,0,5,1,174,1.0,103,29,34,1
CR_178864,2016-06-07,0,4,4,6,5,1,0,1,5,1,249,1.0,72,142,34,1
CR_130028,2008-03-22,0,21,23,4,1,2,7,1,5,1,249,1.0,103,142,34,1
CR_155157,2012-05-02,0,4,4,6,5,3,5,3,6,1,316,1.0,72,29,34,1
CR_59246,1999-06-16,1,9,10,7,3,15,10,1,2,1,0,1.0,72,107,34,1
CR_119761,2007-03-21,7,3,2,3,5,9,8,0,5,1,174,0.0,112,119,43,1
CR_149812,2011-07-15,0,7,8,7,3,2,7,1,2,1,316,1.0,72,62,34,1
CR_182348,2016-08-12,0,36,34,2,1,1,0,1,5,1,174,0.0,103,87,43,1
CR_88610,2002-04-27,0,45,45,10,3,6,4,1,6,1,316,1.0,103,29,34,1
CR_139432,2009-07-18,0,36,34,2,1,3,5,1,2,1,316,1.0,92,142,34,1
CR_95167,2003-11-06,1,36,34,2,1,15,10,0,5,1,174,0.0,92,29,43,1
CR_150138,2011-07-20,0,17,16,0,0,5,6,1,6,2,0,2.0,54,62,34,1
CR_186311,2017-11-22,0,9,10,7,3,2,7,2,5,1,174,99.0,10,80,0,1
CR_103931,2004-01-11,0,46,46,3,5,6,4,0,5,1,328,0.0,98,142,34,1
CR_46579,1997-08-11,1,36,34,2,1,15,10,1,6,1,249,1.0,92,29,34,1
CR_175052,2015-08-12,0,24,24,0,0,4,2,1,2,1,174,0.0,111,115,43,1
CR_100746,2004-07-30,0,24,24,0,0,6,4,0,5,1,316,0.0,72,142,34,1
CR_119034,2006-12-05,7,47,48,7,3,9,8,0,5,1,174,0.0,112,29,23,1
CR_152525,2011-02-01,0,36,34,2,1,1,0,0,5,1,127,1.0,103,62,36,0
CR_38457,1996-03-18,1,36,34,2,1,15,10,1,6,1,174,0.0,18,133,46,1
CR_42330,1997-07-26,0,4,4,6,5,1,0,1,6,1,316,1.0,103,62,34,1
CR_161508,2013-01-29,7,4,4,6,5,9,8,0,5,1,174,0.0,110,93,46,1
CR_126844,2007-08-10,0,49,49,6,5,7,1,0,5,3,249,3.0,103,29,34,1
CR_180349,2016-11-14,0,19,19,1,3,6,4,0,5,2,174,2.0,103,62,34,1
CR_58558,1999-11-01,0,4,4,6,5,2,7,3,6,2,174,2.0,98,62,34,1
CR_171484,2014-09-11,1,44,44,1,3,11,17,1,6,1,249,1.0,103,29,34,1
CR_152281,2011-05-12,0,33,32,2,1,7,1,1,6,1,249,1.0,113,87,34,1
CR_13308,1993-04-04,0,21,23,4,1,7,1,1,6,1,174,1.0,92,93,34,1
CR_59413,1999-09-03,0,15,14,3,5,4,2,0,5,1,174,1.0,72,62,34,1
CR_501,1991-08-15,0,16,15,0,0,1,0,3,6,1,0,1.0,72,29,34,1
CR_24767,1995-11-25,1,4,4,6,5,15,10,0,5,1,174,1.0,103,142,34,1
CR_126708,2007-08-25,0,47,48,7,3,4,2,0,5,1,174,0.0,18,93,46,1
CR_106708,2005-08-14,1,9,10,7,3,15,10,3,6,2,0,2.0,72,107,34,1
CR_105347,2005-11-18,0,4,4,6,5,1,0,1,6,1,316,1.0,72,103,34,1
CR_8801,1992-10-09,0,36,34,2,1,1,0,0,2,2,316,2.0,92,142,34,1
CR_91118,2003-08-24,0,4,4,6,5,2,7,1,6,1,249,1.0,103,93,34,1
CR_136622,2009-07-06,0,6,6,4,1,5,6,0,5,1,174,0.0,54,29,23,1
CR_103209,2004-05-25,0,39,39,6,5,2,7,2,6,1,303,1.0,72,130,34,1
CR_197509,2018-03-26,0,45,45,10,3,8,3,0,5,1,225,1.0,40,130,34,1
CR_39711,1996-06-20,0,39,39,6,5,3,5,1,2,1,249,1.0,24,142,34,1
CR_13597,1993-01-02,1,22,22,7,3,15,10,0,5,1,174,1.0,72,93,34,1
CR_103345,2004-09-21,0,40,40,2,1,3,5,1,6,1,249,1.0,72,29,34,1
CR_99583,2004-01-28,1,18,18,9,0,12,16,0,5,1,328,0.0,92,142,0,1
CR_176133,2015-07-26,1,36,34,2,1,15,10,1,6,1,316,1.0,92,80,34,1
CR_180573,2016-12-02,0,21,23,4,1,4,2,0,5,1,174,0.0,111,93,43,1
CR_42943,1997-03-15,7,4,4,6,5,9,8,0,5,1,174,0.0,112,62,48,1
CR_112911,2006-07-30,0,4,4,6,5,6,4,0,5,1,174,1.0,103,29,34,1
CR_70057,2000-04-22,0,36,34,2,1,1,0,0,5,1,174,0.0,103,93,43,1
CR_193828,2018-02-19,0,17,16,0,0,2,7,1,2,1,0,1.0,103,62,34,1
CR_74327,2001-12-24,0,4,4,6,5,3,5,1,6,1,0,1.0,72,103,34,1
CR_189730,2017-10-07,5,36,34,2,1,18,13,1,5,1,127,99.0,103,87,43,1
CR_48956,1998-02-08,0,3,2,3,5,1,0,0,5,1,174,1.0,103,103,34,1
CR_186444,2017-07-27,1,15,14,3,5,16,12,0,5,1,174,1.0,98,87,34,1
CR_125324,2007-07-30,0,37,37,0,0,7,1,2,6,1,249,1.0,92,29,34,1
CR_51607,1998-09-28,0,16,15,0,0,1,0,2,2,1,0,1.0,72,62,34,1
CR_71828,2000-08-05,0,47,48,7,3,8,3,1,6,1,330,0.0,113,29,48,1
CR_68729,2000-10-31,0,24,24,0,0,7,1,1,5,1,174,1.0,72,142,34,1
CR_65899,2000-07-19,0,4,4,6,5,6,4,0,5,1,174,0.0,18,138,46,1
CR_116886,2006-01-19,0,33,32,2,1,5,6,0,5,1,127,0.0,103,93,43,1
CR_64513,2000-04-20,0,3,2,3,5,1,0,3,1,5,0,5.0,92,80,34,1
CR_184512,2017-08-10,0,3,2,3,5,3,5,2,6,1,0,1.0,98,29,34,1
CR_32248,1996-09-26,0,3,2,3,5,1,0,0,5,1,249,1.0,24,14,34,1
CR_18394,1993-02-15,0,49,49,6,5,2,7,1,6,1,249,1.0,72,14,34,1
CR_105114,2005-03-19,0,4,4,6,5,6,4,2,6,1,303,1.0,98,29,34,1
CR_58935,1999-12-09,0,6,6,4,1,5,6,1,6,1,249,1.0,72,29,34,1
CR_79987,2001-04-12,0,37,37,0,0,3,5,1,6,1,249,0.0,72,29,34,1
CR_82898,2002-11-02,0,4,4,6,5,1,0,1,5,1,316,1.0,67,130,34,1
CR_32484,1996-01-04,0,4,4,6,5,4,2,1,6,1,249,1.0,103,29,34,1
CR_192251,2018-09-05,0,4,4,6,5,1,0,1,5,1,316,1.0,72,62,34,1
CR_189877,2017-03-01,0,37,37,0,0,5,6,0,5,1,174,0.0,18,93,0,1
